area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_clean,bhk,price_per_sqft,location_grouped
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,39.07,1056.0,2,3699.810606060606,Electronic City Phase II
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,120.0,2600.0,4,4615.384615384615,Chikka Tirupathi
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Unknown,1440,2.0,3.0,62.0,1440.0,3,4305.555555555556,Uttarahalli
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,95.0,1521.0,3,6245.890861275477,Lingadheeranahalli
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Unknown,1200,2.0,1.0,51.0,1200.0,2,4250.0,Kothanur
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,38.0,1170.0,2,3247.863247863248,Whitefield
Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,2.0,204.0,2732.0,4,7467.0571010248905,Old Airport Road
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,2.0,600.0,3300.0,4,18181.81818181818,Rajaji Nagar
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Unknown,1310,3.0,1.0,63.25,1310.0,3,4828.244274809161,Marathahalli
Super built-up  Area,18-Feb,Whitefield,3 BHK,Unknown,1800,2.0,2.0,70.0,1800.0,3,3888.8888888888887,Whitefield
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,38.0,1000.0,2,3800.0,7th Phase JP Nagar
Built-up  Area,Ready To Move,Gottigere,2 BHK,Unknown,1100,2.0,2.0,40.0,1100.0,2,3636.3636363636365,Gottigere
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,148.0,2250.0,3,6577.777777777777,Sarjapur
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,73.5,1175.0,2,6255.31914893617,Mysore Road
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,48.0,1180.0,3,4067.7966101694915,Bisuvanahalli
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,60.0,1540.0,3,3896.103896103896,Raja Rajeshwari Nagar
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,290.0,2770.0,3,10469.314079422382,other
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Unknown,1100,2.0,2.0,48.0,1100.0,2,4363.636363636364,other
Built-up  Area,Ready To Move,Kengeri,1 BHK,Unknown,600,1.0,1.0,15.0,600.0,1,2500.0,Kengeri
Super built-up  Area,19-Dec,Binny Pete,3 BHK,She 2rk,1755,3.0,1.0,122.0,1755.0,3,6951.5669515669515,Binny Pete
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Unknown,1767,3.0,1.0,103.0,1767.0,3,5829.088851160159,Bellandur
Super built-up  Area,18-Nov,Thanisandra,1 RK,Bhe 2ko,510,1.0,0.0,25.25,510.0,1,4950.980392156863,Thanisandra
Super built-up  Area,18-May,Mangammanapalya,3 BHK,Unknown,1250,3.0,2.0,56.0,1250.0,3,4480.0,other
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,660,1.0,1.0,23.1,660.0,2,3500.0,Electronic City
Built-up  Area,20-Dec,Whitefield,3 BHK,Unknown,1610,3.0,2.0,81.0,1610.0,3,5031.055900621118,Whitefield
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,48.77,1151.0,2,4237.185056472633,Ramagondanahalli
Super built-up  Area,Ready To Move,Electronic City,3 BHK,KBityo ,1025,2.0,1.0,47.0,1025.0,3,4585.365853658536,Electronic City
Super built-up  Area,19-Dec,Yelahanka,4 BHK,LedorSa,2100 - 2850,4.0,0.0,186.0,2475.0,4,7515.151515151515,Yelahanka
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,35.0,1075.0,3,3255.813953488372,Bisuvanahalli
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Mahosya,1760,2.0,2.0,123.0,1760.0,3,6988.636363636364,Hebbal
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1693,3.0,3.0,57.39,1693.0,3,3389.84051978736,Raja Rajeshwari Nagar
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kantsce,1925,3.0,2.0,125.0,1925.0,3,6493.506493506494,Kasturi Nagar
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,PrarePa,700,2.0,1.0,36.0,700.0,2,5142.857142857143,Kanakpura Road
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Unknown,1070,2.0,1.0,45.5,1070.0,2,4252.336448598131,Electronics City Phase 1
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1724,3.0,2.0,125.0,1724.0,3,7250.580046403712,Kundalahalli
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Unknown,1290,2.0,2.0,56.12,1290.0,3,4350.387596899225,Chikkalasandra
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Unknown,1143,2.0,2.0,45.0,1143.0,2,3937.0078740157483,Uttarahalli
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Gentson,1296,2.0,1.0,81.0,1296.0,2,6250.0,Murugeshpalya
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Soini T,1254,3.0,2.0,38.0,1254.0,3,3030.3030303030305,Sarjapur  Road
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ceove G,600,1.0,0.0,38.0,600.0,1,6333.333333333333,other
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,Unknown,660,1.0,0.0,48.0,660.0,1,7272.727272727273,Yelahanka
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Soazak ,1330.74,2.0,2.0,91.79,1330.74,2,6897.665960292769,Kanakpura Road
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0,970.0,2,3402.061855670103,Doddathoguru
Super built-up  Area,20-Sep,Whitefield,2 BHK,Goted U,1459,2.0,1.0,94.82,1459.0,2,6498.971898560658,Whitefield
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,Unknown,869,2.0,1.0,36.0,869.0,2,4142.692750287687,other
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Bhncyis,1270,2.0,1.0,50.0,1270.0,2,3937.0078740157483,other
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Rosha I,1670,3.0,1.0,99.0,1670.0,3,5928.143712574851,Bhoganhalli
Built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,2010,3.0,2.0,91.0,2010.0,3,4527.363184079602,Whitefield
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0,1185.0,2,6329.113924050633,Lakshminarayana Pura
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,NCowsar,1600,2.0,3.0,75.0,1600.0,3,4687.5,Yelahanka
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1200,2.0,2.0,44.0,1200.0,2,3666.6666666666665,Begur Road
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,BrereAt,3010 - 3410,4.0,2.0,192.0,3210.0,4,5981.308411214954,Devanahalli
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,PeBayle,1500,2.0,2.0,185.0,1500.0,2,12333.333333333334,other
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,Unknown,840,2.0,2.0,45.0,840.0,2,5357.142857142857,other
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,Unknown,4395,3.0,2.0,240.0,4395.0,3,5460.750853242321,other
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Laavevi,845,2.0,1.0,55.0,845.0,2,6508.87573964497,other
Built-up  Area,Ready To Move,Varthur,2 BHK,HioraTr,1160,2.0,2.0,44.0,1160.0,2,3793.103448275862,Varthur
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,Unknown,3000,8.0,0.0,140.0,3000.0,8,4666.666666666667,Bommanahalli
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Unknown,1100,2.0,1.0,62.0,1100.0,2,5636.363636363636,Doddathoguru
